area (px),semiaxis minor (px),semiaxis major (px),eccentricity (px),blue channel,green channel,red channel,deviation blue channel,deviation green channel,deviation red channel,class
5.812709838825182e-08,3.003701744346739e-08,8.341094552833512e-08,0.9329103040436578,0.5588235,0.6512821,0.70642203,1.5723301886761005,1.5723301886761005,1.3743685418725538,0
9.134258318153857e-08,4.3783661896175137e-08,9.969642446048522e-08,0.8984040624413714,0.5176471,0.61025643,0.6834862,1.1989578808281798,0.5,0.5,0
4.068896887177627e-07,1.477919697693589e-07,2.7050358387117637e-07,0.8375513346851291,0.5235294,0.61538464,0.6880734,1.4772948250095508,0.8726969691708572,0.5986651818838307,0
9.964645437986026e-08,7.269788290879474e-08,2.1791484928417334e-07,0.9427122999296121,0.49411765,0.61538464,0.6834862,1.6564424689353268,1.9750509984000395,1.233150906022776,0
3.3215484793286753e-08,0.0,1.6607742396643377e-08,1.0,0.5352941,0.61538464,0.6880734,1.4907119849998598,0.8975274678557508,0.9428090415820634,0
4.982322718993013e-08,6.636034230225435e-08,2.263888563322806e-07,0.9560739786521358,0.5470588,0.61538464,0.6788991,0.7637626158259734,1.118033988749895,1.118033988749895,0
1.9929290875972052e-07,7.165219363841053e-08,2.807883609280607e-07,0.9668929833421528,0.5117647,0.62051284,0.6788991,2.727534851616383,2.0579830217101063,1.78614428831635,0
8.303871198321688e-09,4.9001381707017464e-08,3.920142530083699e-07,0.9921568701773359,0.5117647,0.61025643,0.66972476,1.674979270186815,2.0548046676563256,1.6749792701868151,0
1.411658103714687e-07,3.6146050256358087e-07,1.5078297448050151e-06,0.9708414859593968,0.49411765,0.61538464,0.69266057,2.2325713874364688,2.7386127875258306,3.0388114452858046,0
3.487625903295109e-07,8.292414508045912e-08,1.5266610370016395e-07,0.839620635015753,0.5352941,0.61538464,0.6880734,1.4638501094227998,2.030381486221699,1.171515676204052,0
6.3939808227077e-07,1.919075684190104e-07,5.780591510109567e-07,0.9432842992744098,0.5764706,0.64102566,0.6559633,5.134138194478212,2.598076211353316,1.5206906325745548,0
4.151935599160844e-08,1.847903876456732e-08,2.8638536236195412e-08,0.7639708040546627,0.5647059,0.64102566,0.71100914,1.2909944487358056,1.2909944487358056,0.9428090415820634,0
4.982322718993013e-08,4.225015456216844e-08,8.443338406072964e-08,0.8657964681138092,0.5588235,0.62564105,0.6880734,0.6998542122237652,1.1605769149479943,0.34992710611188255,0
1.1625419677650364e-07,7.209611167953785e-08,1.1547161463110897e-07,0.7811349688963465,0.4882353,0.63076925,0.6834862,4.616666488653433,3.591574624593462,3.1585331027150474,0
1.9098903756139882e-07,7.468395999757104e-08,1.1686281810397615e-07,0.7691454579851341,0.47058824,0.6051282,0.6605505,5.774680837545068,4.140393356054125,4.389226141639204,0
4.068896887177627e-07,1.3604934926679296e-07,1.8088955368145e-07,0.6590343932200415,0.5235294,0.61538464,0.6880734,2.403860793141477,1.7529016971472162,1.3618631650341442,0
1.494696815697904e-07,3.6992878403826624e-08,1.8637834336150824e-07,0.9801043895474206,0.5411765,0.62051284,0.7155963,7.662248963039352,7.174082214562485,7.78102684086264,0
5.148400142959447e-07,1.1740327105521731e-07,1.765586760946819e-07,0.7468849532266504,0.49411765,0.61538464,0.6834862,2.051798368068821,2.157387537660844,1.6263645742560497,0
9.134258318153857e-08,9.276393500574317e-08,2.8238860722474045e-07,0.9445048601637209,0.49411765,0.5897436,0.6651376,2.449489742783178,1.4982983545287878,1.385051387833237,0
6.061825974774833e-07,1.254286639833049e-07,2.2473822815716407e-07,0.8297669377292861,0.5117647,0.61538464,0.6880734,1.870003631078537,0.5773502691896257,0.5773502691896257,0
2.333387806728394e-06,3.1011511227744043e-07,5.101799518737695e-07,0.7940485294669182,0.5235294,0.63076925,0.6880734,2.260504360328809,2.2264809914789416,1.8624606353810824,0
